event,date,underlying,target_delta,target_dte,allocation,slippage_bps,contract_id,expiration,strike,delta,dte,bid,ask,open_interest,score,selected_quantity,portfolio_value,selection_date,selection_delta,selection_dte,selection_bid,selection_ask,fill_bid,fill_ask,fill_price,fill_quantity,fee,portfolio_value_before,quantity,quote_source,entry_date
ENTRY_SELECTION,2012-01-03,SPY,0.7,365,0.25,0,SPY121222C00116000,2012-12-22,116.0,0.69912,354.0,18.19,18.44,884.0,0.00827239862527533,134.0,1000000.0,,,,,,,,,,,,,,
ENTRY_FILL,2012-01-04,SPY,0.7,365,0.25,0,SPY121222C00116000,2012-12-22,116.0,,,,,,,134.0,,2012-01-03,0.69912,354.0,18.19,18.44,18.07,18.28,18.28,134.0,87.10000000000001,1000000.0,,,
EXIT_FILL,2012-06-27,SPY,0.7,365,0.25,0,SPY121222C00116000,,,,,19.54,19.74,,,,,,,,,,,,19.54,,87.10000000000001,1018136.8999999997,134.0,actual_bid,2012-01-04
ENTRY_SELECTION,2012-06-27,SPY,0.7,365,0.25,0,SPY130622C00126000,2013-06-22,126.0,0.64682,360.0,14.7,15.0,202.0,0.057939928047599294,168.0,1016709.7999999996,,,,,,,,,,,,,,
ENTRY_FILL,2012-06-28,SPY,0.7,365,0.25,0,SPY130622C00126000,2013-06-22,126.0,,,,,,,168.0,,2012-06-27,0.64682,360.0,14.7,15.0,14.4,14.75,14.75,168.0,109.2,1016873.3497588105,,,
EXIT_FILL,2012-12-27,SPY,0.7,365,0.25,0,SPY130622C00126000,,,,,17.59,17.86,,,,,,,,,,,,17.59,,109.2,1066411.3749681916,168.0,actual_bid,2012-06-28
ENTRY_SELECTION,2012-12-27,SPY,0.7,365,0.25,0,SPY131221C00131000,2013-12-21,131.0,0.70246,359.0,16.06,16.35,306.0,0.007537242352901432,161.0,1064034.1749681914,,,,,,,,,,,,,,
ENTRY_FILL,2012-12-28,SPY,0.7,365,0.25,0,SPY131221C00131000,2013-12-21,131.0,,,,,,,161.0,,2012-12-27,0.70246,359.0,16.06,16.35,13.99,15.98,15.98,161.0,104.65,1064200.6766262888,,,
EXIT_FILL,2013-06-26,SPY,0.7,365,0.25,0,SPY131221C00131000,,,,,30.14,30.34,,,,,,,,,,,,30.14,,104.65,1293507.7376485271,161.0,actual_bid,2012-12-28
ENTRY_SELECTION,2013-06-26,SPY,0.7,365,0.25,0,SPY140621C00148000,2014-06-21,148.0,0.7033,360.0,17.87,18.12,139.0,0.0074290008259524955,177.0,1291793.0876485272,,,,,,,,,,,,,,
